multipole,value,angle
Normal Quadrupole,-3.82127100327,0.0
Normal Quadrupole,-3.53323260433,0.2
Normal Quadrupole,-3.22796042588,0.4
Normal Quadrupole,-3.08345589031,0.6
Normal Quadrupole,-3.06907656148,0.8
Normal Quadrupole,-3.07063169065,1.0
Normal Quadrupole,-3.15300759932,1.2
Normal Quadrupole,-3.34859349495,1.4
Normal Quadrupole,-3.70079867573,1.6
Normal Quadrupole,-4.23716961137,1.8
Normal Quadrupole,-4.88307018885,2.0
Normal Quadrupole,-5.37215331021,2.2
Normal Quadrupole,-5.8176169848,2.4
Normal Quadrupole,-6.17206959879,2.6
Normal Quadrupole,-6.49547782019,2.8
Normal Quadrupole,-6.87527175876,3.0
Normal Quadrupole,-7.25572793843,3.2
Normal Quadrupole,-7.53523381646,3.4
Normal Quadrupole,-7.52833004937,3.6
Normal Quadrupole,-6.99906686701,3.8
Normal Quadrupole,-5.40380026762,4.0
Normal Quadrupole,-1.23082942468,4.2
Normal Quadrupole,2.80746598495,4.4
Normal Quadrupole,5.10434868242,4.6
Normal Quadrupole,6.10284054665,4.8
Normal Quadrupole,6.39659739383,5.0
Normal Quadrupole,6.37662719473,5.2
Normal Quadrupole,6.16741964153,5.4
Normal Quadrupole,5.85336695045,5.6
Normal Quadrupole,5.58784598625,5.8
Normal Quadrupole,5.42294819264,6.0
Normal Quadrupole,5.35290418327,6.2
Normal Quadrupole,5.29451132271,6.4
Normal Quadrupole,5.23738167061,6.6
Normal Quadrupole,5.10229106917,6.8
Normal Quadrupole,4.87284855601,7.0
Normal Quadrupole,4.59617507518,7.2
Normal Quadrupole,4.29876761157,7.4
Normal Quadrupole,3.98780843453,7.6
Normal Quadrupole,3.67513836822,7.8
Normal Quadrupole,3.39646759491,8.0
Normal Quadrupole,3.1521395799,8.2
Normal Quadrupole,2.94666630578,8.4
Normal Quadrupole,2.76611418678,8.6
Normal Quadrupole,2.62570951656,8.8
Normal Quadrupole,2.53138701246,9.0
Normal Quadrupole,2.47486381311,9.2
Normal Quadrupole,2.49181321982,9.4
Normal Quadrupole,2.52864869673,9.6
Normal Quadrupole,2.58024140154,9.8
Normal Quadrupole,2.63181089842,10.0
Normal Quadrupole,2.72594315346,10.2
Normal Quadrupole,2.83529552515,10.4
Normal Quadrupole,2.92589853288,10.6
Normal Quadrupole,3.10532421675,10.8
Normal Quadrupole,3.34119088931,11.0
Normal Quadrupole,3.62186976559,11.2
Normal Quadrupole,3.89399356173,11.4
Normal Quadrupole,4.07419658686,11.6
Normal Quadrupole,4.12250362541,11.8
Normal Quadrupole,3.95785441965,12.0
Normal Quadrupole,3.52570293743,12.2
Normal Quadrupole,2.82332707183,12.4
Normal Quadrupole,1.99340386281,12.6
Normal Quadrupole,1.10433257708,12.8
Normal Quadrupole,0.233575866042,13.0
Normal Quadrupole,-0.732650524002,13.2
Normal Quadrupole,-1.783487513,13.4
Normal Quadrupole,-2.86307131447,13.6
Normal Quadrupole,-4.07542228463,13.8
Normal Quadrupole,-5.89183521127,14.0
Normal Quadrupole,-8.43763975626,14.2
Normal Quadrupole,-10.1752101887,14.4
Normal Quadrupole,-9.98433953168,14.6
Normal Quadrupole,-8.50775056331,14.8
Normal Quadrupole,-6.43328565479,15.0
Normal Quadrupole,-4.22521359237,15.2
Normal Quadrupole,-2.03243061835,15.4
Normal Quadrupole,0.246736445425,15.6
Normal Quadrupole,2.30173135285,15.8
Normal Quadrupole,4.06846527221,16.0
Normal Quadrupole,5.68808299394,16.2
Normal Quadrupole,7.31484048908,16.4
Normal Quadrupole,8.22377027625,16.6
Normal Quadrupole,9.13667026395,16.8
Normal Quadrupole,9.75684750711,17.0
Normal Quadrupole,10.2018154233,17.2
Normal Quadrupole,10.4899998268,17.4
Normal Quadrupole,10.6487951501,17.6
Normal Quadrupole,10.6611810717,17.8
Normal Quadrupole,10.4813951261,18.0
Normal Quadrupole,10.1298270462,18.2
Normal Quadrupole,9.63645404042,18.4
Normal Quadrupole,9.0647896942,18.6
Normal Quadrupole,8.4145459738,18.8
Normal Quadrupole,7.78772591308,19.0
Normal Quadrupole,7.19971655577,19.2
Normal Quadrupole,6.6307201105,19.4
Normal Quadrupole,6.11678809018,19.6
Normal Quadrupole,5.69682575765,19.8
Normal Quadrupole,5.4706374454,20.0
Normal Quadrupole,5.35767753741,20.2
Normal Quadrupole,5.36277705134,20.4
Normal Quadrupole,5.46011052354,20.6
Normal Quadrupole,5.61758815357,20.8
Normal Quadrupole,5.8028384316,21.0
Normal Quadrupole,6.02778364453,21.2
Normal Quadrupole,6.36878577465,21.4
Normal Quadrupole,6.84815953236,21.6
Normal Quadrupole,7.34573011822,21.8
Normal Quadrupole,7.88885912302,22.0
Normal Quadrupole,8.48320670534,22.2
Normal Quadrupole,8.997939548,22.4
Normal Quadrupole,9.51395525305,22.6
Normal Quadrupole,9.84474961897,22.8
Normal Quadrupole,10.0407412369,23.0
Normal Quadrupole,2.48659605876,23.2
Normal Quadrupole,10.287497094,23.4
Normal Quadrupole,10.3774271801,23.6
Normal Quadrupole,10.261430898,23.8
Normal Quadrupole,9.6564679104,24.0
Normal Quadrupole,8.07473731195,24.2
Normal Quadrupole,6.21354060232,24.4
Normal Quadrupole,3.90313508921,24.6
Normal Quadrupole,2.21996106504,24.8
Normal Quadrupole,0.666880077596,25.0
Normal Quadrupole,0.113157272718,25.2
Normal Quadrupole,0.158376569619,25.4
Normal Quadrupole,0.512151229792,25.6
Normal Quadrupole,0.960645882993,25.8
Normal Quadrupole,1.4410647289,26.0
Normal Quadrupole,1.81161283408,26.2
Normal Quadrupole,2.01258301127,26.4
Normal Quadrupole,2.02334672542,26.6
Normal Quadrupole,1.85764453258,26.8
Normal Quadrupole,1.48993667084,27.0
Normal Quadrupole,1.01994974497,27.2
Normal Quadrupole,0.449036912263,27.4
Normal Quadrupole,-0.194294044375,27.6
Normal Quadrupole,-0.833690545774,27.8
Normal Quadrupole,-1.4491029547,28.0
Normal Quadrupole,-2.00203875291,28.2
Normal Quadrupole,-2.55904251357,28.4
Normal Quadrupole,-3.06294191867,28.6
Normal Quadrupole,-3.64838128367,28.8
Normal Quadrupole,-4.23378186552,29.0
Normal Quadrupole,-4.84955532475,29.2
Normal Quadrupole,-5.4313699237,29.4
Normal Quadrupole,-6.04316076384,29.6
Normal Quadrupole,-6.65645978233,29.8
Normal Quadrupole,-7.30281396558,30.0
Normal Quadrupole,-7.8662142344,30.2
Normal Quadrupole,-8.44183399521,30.4
Normal Quadrupole,-8.9128605617,30.6
Normal Quadrupole,-9.22633287264,30.8
Normal Quadrupole,-9.46133251131,31.0
Normal Quadrupole,-9.59527537032,31.2
Normal Quadrupole,-9.64287852259,31.4
Normal Quadrupole,-9.59556439535,31.6
Normal Quadrupole,-9.46854025132,31.8
Normal Quadrupole,-9.20100302455,32.0
Normal Quadrupole,-8.73082328644,32.2
Normal Quadrupole,-8.20529658903,32.4
Normal Quadrupole,-7.46469410238,32.6
Normal Quadrupole,-6.55846382042,32.8
Normal Quadrupole,-5.56726059823,33.0
Normal Quadrupole,-4.33458716304,33.2
Normal Quadrupole,-3.02697716305,33.4
Normal Quadrupole,-2.1764389254,33.6
Normal Quadrupole,-2.87307613731,33.8
Normal Quadrupole,-5.82468692362,34.0
Normal Quadrupole,-6.07280374958,34.2
Normal Quadrupole,-5.07478622223,34.4
Normal Quadrupole,-4.74010733783,34.6
Normal Quadrupole,-4.99000014109,34.8
Normal Quadrupole,-5.50870699295,35.0
Normal Quadrupole,-5.9644231825,35.2
